NG;51,03;112;47,26;95;41,9;104;61,65;89;62,96;85;41,4;141;
PL;69,17;47;51,63;75;59,46;37;70,19;57;77,38;35;87,2;54;
JO;44,3;132;31,7;143;35,68;135;36,06;153;38,69;143;79,37;84;
SL;64,27;64;54,55;67;43,56;92;69,23;60;72,62;53;81,39;77;
GH;67,71;50;59,5;51;47,92;72;74,79;38;73,41;48;82,94;72;
LU;83,8;11;87,74;9;71,53;13;77,56;34;85,32;10;96,83;1;
DE;83,84;10;85,22;14;77,63;6;84,69;8;82,38;22;89,29;40;
GR;57,15;88;45,25;101;37,61;123;64,68;76;52,44;120;85,78;59;
TZ;54,8;97;47,41;94;41,07;108;50,69;120;63,44;82;71,42;98;
FJ;71,23;44;59,26;52;64,66;26;69,04;63;74,35;45;88,86;43;
MR;74,2;33;67,23;35;54,05;50;79,06;26;76,98;36;93,65;10;
DO;73,89;35;72,61;26;53,54;51;86,92;5;82,14;24;74,24;95;
SI;72,6;42;67,85;34;49,81;59;81,03;16;73,7;47;90,58;29;
KE;53,22;102;38,97;122;37,04;127;59,4;96;58,6;101;72,09;96;
ZW;50,31;116;36,96;126;40,63;110;52,76;114;52,68;118;68,5;101;
CG;62,57;69;54,28;70;42,92;95;63,27;82;67,14;69;85,24;60;
MA;45,97;129;40,31;119;35,68;135;48,92;128;50,3;125;54,63;123;
BG;65,32;59;60,63;50;41,6;105;72,24;50;67,06;70;85,08;61;
CF;60,12;76;48,55;87;44,97;84;64,42;78;62,9;86;79,76;80;
NP;60,52;74;55,46;62;52,92;52;71,41;52;61,43;90;61,41;109;
TH;58,12;87;54,35;68;48,54;65;50,58;121;54,52;112;82,62;74;
QA;58,48;84;50,56;78;51,39;55;41,9;140;59,9;95;88,66;45;
UA;65;61;67,15;36;62,24;32;78,61;28;75,89;39;41,11;142;
MW;64,46;63;58,78;53;46,06;79;64,96;75;68,12;66;84,39;64;
AO;52,44;104;40,82;115;36,81;128;55,98;109;58,33;102;70,25;100;
BJ;56,73;89;47,68;93;39,48;115;57,31;102;63,33;83;75,83;93;
CO;49,63;119;48,05;90;37,58;124;72,71;48;48,08;132;41,75;139;
CSS;62,83;68;54,63;66;50,4;56;57,01;105;65,28;75;86,82;57;
OM;42,52;137;35,88;130;37,74;122;26,78;168;35,7;154;76,51;91;
BE;81,49;16;81,96;16;71,41;14;79,49;24;86,51;7;88,1;52;
SR;76,11;28;66,67;40;70,66;16;71,79;51;79,56;30;91,87;27;
HN;38,18;146;35,36;132;34,89;140;49,17;126;35,95;153;35,51;152;
SZ;58,31;85;49,13;84;41,25;106;47,31;131;64,29;78;89,58;38;
KW;44,66;131;37,42;125;32,13;155;45,96;132;27,85;170;79,96;79;
BN;50,09;117;49,42;82;45,16;83;41,08;141;37,83;146;76,99;89;
CL;67,32;52;68,84;32;46,98;76;68,75;64;68,45;65;83,57;68;
GA;65,83;56;58,51;54;49,74;60;70,19;57;71,09;57;79,59;82;
